brand,model,size,color,rpm,airflow,decibels,pwm,price
arctic,acf8 pro,0.2105263157894736,white / black,"{'min': 700, 'max': 2000, 'default': none}",,,True,0.0
arctic,bionix f120,0.4210526315789473,black / white,"{'min': 200, 'max': 1800, 'default': none}","{'min': none, 'max': none, 'default': 69.0}","{'min': none, 'max': none, 'default': 24.4}",True,0.0
arctic,bionix f140,0.5263157894736842,black / yellow,"{'min': none, 'max': none, 'default': 1800}","{'min': none, 'max': none, 'default': 104.0}","{'min': none, 'max': none, 'default': 25.3}",False,0.0
arctic,bionix p120,0.4210526315789473,white / black,"{'min': 200, 'max': 2100, 'default': none}","{'min': none, 'max': none, 'default': 67.56}","{'min': none, 'max': none, 'default': 25.3}",True,0.0
arctic,bionix p140,0.5263157894736842,black / gray,"{'min': 200, 'max': 1950, 'default': none}","{'min': none, 'max': none, 'default': 77.6}","{'min': none, 'max': none, 'default': 25.3}",True,0.0
arctic,f12,0.4210526315789473,white / black,"{'min': none, 'max': none, 'default': 1300}","{'min': none, 'max': none, 'default': 74.0}","{'min': none, 'max': none, 'default': 22.5}",False,0.0
arctic,f12 co,0.4210526315789473,black,"{'min': 600, 'max': 1350, 'default': none}","{'min': none, 'max': none, 'default': 74.0}","{'min': none, 'max': none, 'default': 22.5}",True,0.0
arctic,f12 pst,0.4210526315789473,black / white,"{'min': none, 'max': none, 'default': 1350}","{'min': none, 'max': none, 'default': 53.0}","{'min': none, 'max': none, 'default': 22.5}",True,0.0
arctic,f12 pst 5-pack,0.4210526315789473,white / black,"{'min': 300, 'max': 1350, 'default': none}","{'min': none, 'max': none, 'default': 53.0}","{'min': none, 'max': none, 'default': 22.5}",True,0.0
arctic,f12 pro,0.4210526315789473,white / black,"{'min': none, 'max': none, 'default': 1500}","{'min': none, 'max': none, 'default': 54.0}","{'min': none, 'max': none, 'default': 22.5}",False,0.0
arctic,f12 silent,0.4210526315789473,white / black,"{'min': none, 'max': none, 'default': 800}","{'min': none, 'max': none, 'default': 37.0}","{'min': none, 'max': none, 'default': 22.5}",False,0.0
arctic,f12 tc,0.4210526315789473,white / black,"{'min': none, 'max': none, 'default': 1350}","{'min': none, 'max': none, 'default': 53.0}","{'min': none, 'max': none, 'default': 22.5}",False,0.0
arctic,f14,0.5263157894736842,white / black,"{'min': 550, 'max': 1350, 'default': none}","{'min': none, 'max': none, 'default': 77.3}","{'min': none, 'max': none, 'default': 22.5}",True,0.0
arctic,f14 pst,0.5263157894736842,black / white,"{'min': none, 'max': none, 'default': 1350}","{'min': none, 'max': none, 'default': 74.0}","{'min': none, 'max': none, 'default': 22.5}",True,0.0
