brand,model,fan_rpm,decibels,color,radiator_size,price
adata,xpg levante 240,"{'min': 600, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 34.0}",black,0.4,0.0
arctic,alpine 11,"{'min': 900, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 14.0}",black,0.4,0.0
arctic,alpine 11 - passive,"{'min': 900, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 0.0}",black,0.4,0.0
arctic,alpine 11 gt rev 2,"{'min': none, 'max': none, 'default': 2000}","{'min': none, 'max': none, 'default': 22.5}",black,0.4,0.0
arctic,alpine 11 gt rev. 2,"{'min': 500, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 22.5}",black,0.4,0.0
arctic,alpine 11 plus,"{'min': 600, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 14.0}",black,0.4,0.0
arctic,alpine 11 pro rev. 2,"{'min': 500, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 14.0}",black,0.4,0.0
arctic,alpine 12,"{'min': 100, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 14.0}",black / white,0.4,0.0
arctic,alpine 12 co,"{'min': 100, 'max': 2700, 'default': none}","{'min': none, 'max': none, 'default': 14.0}",black / gray,0.4,0.0
arctic,alpine 12 lp,"{'min': 100, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 14.0}",black / white,0.4,0.0
arctic,alpine 12 passive,"{'min': 100, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 0.0}",black,0.4,0.0
arctic,alpine 20 plus co,"{'min': 600, 'max': 2200, 'default': none}","{'min': none, 'max': none, 'default': 0.0}",black,0.4,0.0
arctic,alpine 64 gt,"{'min': 500, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 0.0}",black,0.4,0.0
arctic,alpine 64 plus,"{'min': 600, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 0.0}",black,0.4,0.0
arctic,alpine 64 pro rev 2,"{'min': 500, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 0.0}",black,0.4,0.0
arctic,alpine 7 gt,"{'min': none, 'max': none, 'default': 2000}","{'min': none, 'max': none, 'default': 25.0}",black,0.4,0.0
arctic,alpine 7 pro,"{'min': 500, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 25.0}",black,0.4,0.0
arctic,alpine am4,"{'min': 100, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 25.0}",black / white,0.4,0.0
arctic,alpine am4 co,"{'min': 100, 'max': 2700, 'default': none}","{'min': none, 'max': none, 'default': 25.0}",black,0.4,0.0
arctic,alpine am4 lp,"{'min': 100, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 25.0}",black / white,0.4,0.0
arctic,alpine m1,"{'min': none, 'max': none, 'default': 750}","{'min': none, 'max': none, 'default': 20.5}",black / white,0.4,0.0
arctic,alpine m1 - passive,"{'min': none, 'max': none, 'default': 750}","{'min': none, 'max': none, 'default': 0.0}",black / white,0.4,0.0
arctic,alpine passive,"{'min': none, 'max': none, 'default': 750}","{'min': none, 'max': none, 'default': 0.0}",black,0.4,0.0
arctic,freezer 11 lp,"{'min': 900, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 0.0}",black,0.4,0.0
arctic,freezer 12,"{'min': 900, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 22.5}",black,0.4,0.0
