brand,model,channels,channel_wattage,pwm,form_factor,color,price
aerocool,cooltouch-r black,0.6000000000000001,0.3333333333333333,True,"5.25""",,0.0
aerocool,f6xt,1.0000000000000002,0.2,True,"5.25""",,0.0
aerocool,strike-x-x1000,0.8,0.4166666666666667,False,"5.25""",,0.0
aerocool,touch 2000,0.6000000000000001,0.1,False,"2 x 5.25""",,0.0
aerocool,touch 2100,0.8,0.4166666666666667,False,"2 x 5.25""",,0.0
aerocool,touch-1000,0.6000000000000001,0.4166666666666667,False,"5.25""",,0.0
aerocool,v12xt,0.6000000000000001,0.1,False,"2 x 5.25""",,0.0
aerocool,x-vision,0.8,0.0,False,"5.25""",black,0.0
bitfenix,recon (black),0.8,0.1666666666666666,True,"5.25""",black,0.0
bitfenix,recon (white),0.8,0.1666666666666666,True,"5.25""",black,0.0
deepcool,rock master v3.0,0.6000000000000001,0.1666666666666666,True,"5.25""",black,0.0
gelid solutions,speedtouch6,1.0000000000000002,0.5,True,"5.25""",black,0.0
kingwin,fpx-001,0.6000000000000001,0.1333333333333333,False,"3.5""",black,0.0
kingwin,fpx-003,0.6000000000000001,0.1333333333333333,False,"5.25""",black,0.0
kingwin,fpx-005,0.8,0.1333333333333333,True,"5.25""",black,0.0
lamptron,cw611-b,1.0000000000000002,0.6,False,"5.25""",black,0.0
lamptron,fc touch,1.0000000000000002,0.5,True,"5.25""",black,0.0
lamptron,fc-cf525-bk,0.8,1.0,True,"5.25""",black,0.0
lamptron,fc-cm615-bk,1.0000000000000002,0.25,False,"5.25""",black,0.0
lamptron,fc-fanatic-b,0.8,1.0,True,"5.25""",black,0.0
lamptron,fc-fc2-b,1.0000000000000002,0.75,False,"5.25""",black,0.0
lamptron,fc-fc5v2-b,0.6000000000000001,0.5,False,"5.25""",black,0.0
lamptron,fc-fc5v3-bk,1.0000000000000002,0.5,True,"5.25""",black,0.0
lamptron,fc2,1.0000000000000002,0.75,True,"5.25""",black,0.0
lamptron,fc6,0.6000000000000001,0.1666666666666666,True,"5.25""",black,0.0
lamptron,fc9,0.6000000000000001,0.8333333333333334,True,"5.25""",black,0.0
lamptron,fanatic,0.8,1.0,True,"5.25""",black,0.0
nzxt,sentry 3,0.8,0.25,True,"5.25""",black,0.0
nzxt,sentry 2,0.8,0.1666666666666666,False,"5.25""",black,0.0
nzxt,sentry lx,0.8,0.1,False,"2 x 5.25""",black,0.0
nzxt,sentry mesh,0.8,0.5,False,"5.25""",black,0.0
nzxt,sentry mix 2,1.0000000000000002,0.5,True,"5.25""",black,0.0
scythe,kaze master flat ii,0.6000000000000001,0.6,False,"5.25""",black,0.0
silverstone,fp59b,0.0,0.6,False,"5.25""",black,0.0
thermaltake,ac-001-bn1nan-a1,0.8,0.1333333333333333,True,"5.25""",black,0.0
thermaltake,commander f6 rgb,1.0000000000000002,0.0,True,"5.25""",black,0.0
thermaltake,commander ft,0.8,0.1666666666666666,True,"5.25""",black,0.0
Aerocool,CoolTouch-R Black,4.0,20.0,True,"5.25""",,"['USD', '0.00']"
Aerocool,F6XT,6.0,12.0,True,"5.25""",,"['USD', '17.76']"
Aerocool,Strike-X-X1000,5.0,25.0,False,"5.25""",,"['USD', '0.00']"
Aerocool,Touch 2000,4.0,6.0,False,"2 x 5.25""",,"['USD', '0.00']"
Aerocool,Touch 2100,5.0,25.0,False,"2 x 5.25""",,"['USD', '0.00']"
Aerocool,Touch-1000,4.0,,False,"5.25""",,"['USD', '28.60']"
Aerocool,V12XT,4.0,6.0,False,"2 x 5.25""",,"['USD', '0.00']"
Aerocool,X-Vision,5.0,0.0,False,"5.25""",Black,"['USD', '0.00']"
BitFenix,Recon (Black),5.0,10.0,True,"5.25""",,"['USD', '0.00']"
BitFenix,Recon (White),5.0,10.0,True,"5.25""",,"['USD', '0.00']"
Deepcool,ROCK MASTER V3.0,4.0,10.0,True,"5.25""",,"['USD', '0.00']"
Gelid Solutions,SpeedTouch6,6.0,30.0,True,"5.25""",,"['USD', '0.00']"
Kingwin,FPX-001,4.0,8.0,False,"3.5""",,"['USD', '15.18']"
Kingwin,FPX-003,4.0,8.0,False,"5.25""",,"['USD', '83.99']"
Kingwin,FPX-005,5.0,8.0,True,"5.25""",,"['USD', '0.00']"
Lamptron,CW611-B,6.0,36.0,False,"5.25""",,"['USD', '0.00']"
Lamptron,FC Touch,6.0,30.0,True,"5.25""",,"['USD', '44.99']"
Lamptron,FC-CF525-BK,5.0,60.0,True,"5.25""",,"['USD', '0.00']"
Lamptron,FC-CM615-BK,6.0,15.0,False,"5.25""",,"['USD', '0.00']"
Lamptron,FC-FANATIC-B,5.0,60.0,True,"5.25""",,"['USD', '0.00']"
Lamptron,FC-FC2-B,6.0,45.0,False,"5.25""",,"['USD', '0.00']"
Lamptron,FC-FC5V2-B,4.0,30.0,False,"5.25""",,"['USD', '69.95']"
Lamptron,FC-FC5V3-BK,6.0,30.0,True,"5.25""",,"['USD', '0.00']"
Lamptron,FC2,6.0,45.0,True,"5.25""",,"['USD', '0.00']"
Lamptron,FC6,4.0,10.0,True,"5.25""",,"['USD', '0.00']"
Lamptron,FC9,4.0,50.0,True,"5.25""",,"['USD', '0.00']"
Lamptron,Fanatic,5.0,60.0,True,"5.25""",,"['USD', '0.00']"
NZXT,SENTRY 3,5.0,15.0,True,"5.25""",,"['USD', '0.00']"
NZXT,Sentry 2,5.0,10.0,False,"5.25""",,"['USD', '0.00']"
NZXT,Sentry LX,5.0,6.0,False,"2 x 5.25""",,"['USD', '0.00']"
NZXT,Sentry Mesh,5.0,30.0,False,"5.25""",,"['USD', '0.00']"
NZXT,Sentry Mix 2,6.0,30.0,True,"5.25""",,"['USD', '0.00']"
Scythe,Kaze Master Flat II,4.0,36.0,False,"5.25""",Black,"['USD', '0.00']"
Silverstone,FP59B,1.0,,False,"5.25""",Black,"['USD', '0.00']"
Thermaltake,AC-001-BN1NAN-A1,5.0,8.0,True,"5.25""",,"['USD', '0.00']"
Thermaltake,Commander F6 RGB,6.0,0.0,True,"5.25""",Black,"['USD', '59.41']"
Thermaltake,Commander FT,5.0,10.0,True,"5.25""",,"['USD', '39.99']"
