brand,model,chipset,vram,core_clock,boost_clock,color,length,price
amd,firepro w5100,firepro w5100,{'total': 4000000000},{'cycles': 930000000},{'cycles': 1700000000},black / red,0.3138461538461539,0.0
amd,radeon pro wx 4100,radeon pro wx 4100,{'total': 4000000000},{'cycles': 925000000},{'cycles': 975000000},blue,0.3046153846153846,0.0
amd,radeon pro wx 5100,radeon pro wx 5100,{'total': 8000000000},{'cycles': 926000000},{'cycles': 1206000000},blue,0.3199999999999999,0.0
amd,radeon pro wx 7100,radeon pro wx 7100,{'total': 8000000000},{'cycles': 900000000},{'cycles': 1080000000},blue,0.5323076923076923,0.0
asrock,challenger d oc,radeon rx 5600 xt,{'total': 6000000000},{'cycles': 1235000000},{'cycles': 1620000000},black / silver,0.5276923076923077,0.0
asrock,challenger itx,radeon rx 5500 xt,{'total': 8000000000},{'cycles': 1607000000},{'cycles': 1845000000},black,0.3723076923076923,0.0
asrock,challenger pro oc,radeon rx 5700 xt,{'total': 8000000000},{'cycles': 1580000000},{'cycles': 1905000000},black / gray,0.683076923076923,0.0
asrock,phantom gaming,radeon rx 560 - 896,{'total': 4000000000},{'cycles': 1176000000},{'cycles': 1546000000},black / silver,0.3107692307692308,0.0
asrock,phantom gaming d,radeon rx 570,{'total': 8000000000},{'cycles': 1168000000},{'cycles': 1270000000},black,0.5144615384615384,0.0
asrock,phantom gaming d oc,radeon rx 6800,{'total': 16000000000},{'cycles': 1700000000},{'cycles': 1945000000},black / silver,0.7261538461538461,0.0
asrock,phantom gaming u oc,radeon rx 590,{'total': 8000000000},{'cycles': 1469000000},{'cycles': 1560000000},black,0.6455692307692308,0.0
asrock,phantom gaming x,radeon rx vega 56,{'total': 8000000000},{'cycles': 1156000000},{'cycles': 1471000000},black / red,0.6492307692307693,0.0
asrock,rx5700 xt 8g,radeon rx 5700 xt,{'total': 8000000000},{'cycles': 1605000000},{'cycles': 1905000000},silver / black,0.664,0.0
asrock,radeon rx 6800 16g,radeon rx 6800,{'total': 16000000000},{'cycles': 1700000000},{'cycles': 2105000000},black / silver,0.6092307692307692,0.0
asrock,radeon rx 6800 xt 16g,radeon rx 6800 xt,{'total': 16000000000},{'cycles': 1825000000},{'cycles': 2250000000},black / silver,0.6092307692307692,0.0
asrock,taichi x oc,radeon rx 6800 xt,{'total': 16000000000},{'cycles': 1825000000},{'cycles': 2250000000},black,0.803076923076923,0.0
asrock,taichi x oc+,radeon rx 5700 xt,{'total': 8000000000},{'cycles': 1810000000},{'cycles': 2025000000},black / gold,0.7856923076923078,0.0
ati,firepro 2270,firepro 2270,{'total': 500000000},{'cycles': 600000000},{'cycles': 2025000000},black / red,0.3107692307692308,0.0
ati,firepro 2450,firepro 2450,{'total': 500000000},{'cycles': 600000000},{'cycles': 2025000000},black / red,0.3107692307692308,0.0
ati,firepro 2450 multi-view,firepro 2450,{'total': 500000000},{'cycles': 600000000},{'cycles': 2025000000},black / red,0.3046153846153846,0.0
ati,firepro 2460,firepro 2460,{'total': 500000000},{'cycles': 600000000},{'cycles': 2025000000},black / red,0.3107692307692308,0.0
ati,firepro r5000,firepro r5000,{'total': 2000000000},{'cycles': 825000000},{'cycles': 2025000000},black / red,0.6461538461538462,0.0
ati,firepro rg220a,firepro rg220a,{'total': 500000000},{'cycles': 800000000},{'cycles': 2025000000},black / red,0.3046153846153846,0.0
ati,firepro s10000,firepro s10000,{'total': 6000000000},{'cycles': 825000000},{'cycles': 2025000000},black / red,0.7261538461538461,0.0
ati,firepro s7000,firepro s7000,{'total': 4000000000},{'cycles': 950000000},{'cycles': 2025000000},black / silver,0.6861538461538461,0.0
ati,firepro s9000,firepro s9000,{'total': 6000000000},{'cycles': 900000000},{'cycles': 2025000000},black / red,0.6092307692307692,0.0
ati,firepro s9050,firepro s9050,{'total': 12000000000},{'cycles': 900000000},{'cycles': 2025000000},black / silver,0.5692307692307692,0.0
ati,firepro s9150,firepro s9150,{'total': 16000000000},{'cycles': 900000000},{'cycles': 2025000000},black / white,0.6092307692307692,0.0
ati,firepro v3800,firepro v3800,{'total': 500000000},{'cycles': 650000000},{'cycles': 2025000000},black / red,0.3046153846153846,0.0
ati,firepro v4900,firepro v4900,{'total': 1000000000},{'cycles': 800000000},{'cycles': 2025000000},black / red,0.2892307692307692,0.0
ati,firepro v5800,firepro v5800,{'total': 1000000000},{'cycles': 700000000},{'cycles': 2025000000},black / red,0.4923076923076923,0.0
