brand,model,form_factor,frequency_response,has_microphone,is_wireless,type,color,price
1more,ehd9001ta,in ear,,False,True,closed,black / red,0.0
1more,quad driver,in ear,"{'min': 20.0, 'max': 40000.0, 'default': none}",True,False,closed,black / red,0.0
1more,triple driver (black/gold),in ear,"{'min': 20.0, 'max': 40000.0, 'default': none}",True,False,closed,black / gold,0.0
1more,triple driver (silver),in ear,"{'min': 20.0, 'max': 40000.0, 'default': none}",True,False,closed,silver,0.0
1more,triple driver lightning (silver),in ear,"{'min': 20.0, 'max': 40000.0, 'default': none}",True,False,closed,silver,0.0
a4tech,g500,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black / red,0.0
a4tech,hu-111,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black,0.0
a4tech,l-610-1,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black / silver,0.0
a4tech,mk-630p,in ear,"{'min': 20.0, 'max': 20000.0, 'default': none}",False,False,closed,pink / white,0.0
a4tech,mk-650p,in ear,"{'min': 20.0, 'max': 20000.0, 'default': none}",False,False,closed,pink / silver,0.0
adata,emix h30 se,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black / red,0.0
adata,emix i30,in ear,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black / red,0.0
adata,solox f30+emix h30,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black / red,0.0
adata,xpg emix h20,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black / red,0.0
adata,xpg precog,supra-aural,"{'min': 5.0, 'max': 50000.0, 'default': none}",True,False,closed,black / red,0.0
akg,ip2,in ear,"{'min': 12.0, 'max': 23500.0, 'default': none}",False,False,closed,black / silver,0.0
akg,k-495nc,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",False,False,closed,black / silver,0.0
akg,k142hd,circumaural,"{'min': 18.0, 'max': 24000.0, 'default': none}",False,False,closed,black / silver,0.0
akg,k240 mkii,circumaural,"{'min': 15.0, 'max': 25000.0, 'default': none}",False,False,semi-open,black,0.0
akg,k242hd,circumaural,"{'min': 15.0, 'max': 25000.0, 'default': none}",False,False,semi-open,black / silver,0.0
akg,k267 tiesto,circumaural,"{'min': 5.0, 'max': 30000.0, 'default': none}",False,False,closed,black / silver,0.0
akg,k271 mk ii,circumaural,"{'min': 16.0, 'max': 28000.0, 'default': none}",False,False,closed,black / silver,0.0
akg,k271mkii,circumaural,"{'min': 16.0, 'max': 28000.0, 'default': none}",False,False,closed,black / silver,0.0
akg,k272 hd,circumaural,"{'min': 16.0, 'max': 28000.0, 'default': none}",False,False,closed,black / silver,0.0
akg,k3003i,in ear,"{'min': 10.0, 'max': 30000.0, 'default': none}",False,False,closed,black / silver,0.0
akg,k326blk,earbud,"{'min': 17.0, 'max': 23000.0, 'default': none}",True,False,closed,black,0.0
akg,k326red,earbud,"{'min': 17.0, 'max': 23000.0, 'default': none}",True,False,closed,black / red,0.0
akg,k326sny,earbud,"{'min': 17.0, 'max': 23000.0, 'default': none}",True,False,closed,black / yellow,0.0
akg,k328sbp,earbud,"{'min': 13.0, 'max': 22500.0, 'default': none}",True,False,closed,black / purple,0.0
akg,k328sbr,earbud,"{'min': 13.0, 'max': 22500.0, 'default': none}",True,False,closed,black / red,0.0
akg,k350 crm,in ear,"{'min': 12.0, 'max': 23500.0, 'default': none}",True,False,closed,black / silver,0.0
akg,k350 wht,in ear,"{'min': 12.0, 'max': 23500.0, 'default': none}",True,False,closed,white,0.0
akg,k350ama,in ear,"{'min': 12.0, 'max': 23500.0, 'default': none}",False,False,closed,purple,0.0
akg,k371-bt,circumaural,"{'min': 5.0, 'max': 40000.0, 'default': none}",True,True,closed,beige,0.0
akg,k374slv,in ear,"{'min': 10.0, 'max': 24000.0, 'default': none}",False,False,closed,black / silver,0.0
akg,k391nc,in ear,"{'min': 12.0, 'max': 24000.0, 'default': none}",True,False,closed,black / silver,0.0
akg,k420blu,circumaural,"{'min': 13.0, 'max': 27000.0, 'default': none}",False,False,semi-open,black / blue,0.0
akg,k430wht,circumaural,"{'min': 12.0, 'max': 28000.0, 'default': none}",False,False,closed,white,0.0
akg,k451blk,supra-aural,"{'min': 11.0, 'max': 29500.0, 'default': none}",False,False,closed,black / silver,0.0
akg,k490 nc,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",False,False,closed,black / silver,0.0
akg,k512 mkii,circumaural,"{'min': 16.0, 'max': 20000.0, 'default': none}",False,False,closed,black / silver,0.0
akg,k514 mkii,supra-aural,"{'min': 16.0, 'max': 22000.0, 'default': none}",False,False,closed,gray / white,0.0
akg,k518le,circumaural,"{'min': 16.0, 'max': 24000.0, 'default': none}",False,False,closed,black / yellow,0.0
akg,k518lered,circumaural,"{'min': 16.0, 'max': 24000.0, 'default': none}",False,False,closed,black / red,0.0
akg,k518lewht,circumaural,"{'min': 16.0, 'max': 24000.0, 'default': none}",False,False,closed,black / white,0.0
akg,k550,circumaural,"{'min': 12.0, 'max': 28000.0, 'default': none}",False,False,closed,black,0.0
akg,k551slv,circumaural,"{'min': 12.0, 'max': 28000.0, 'default': none}",True,False,closed,black / silver,0.0
akg,k551wht,circumaural,"{'min': 12.0, 'max': 28000.0, 'default': none}",True,False,closed,white,0.0
akg,k553 pro,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",False,False,closed,black,0.0
akg,k618 dj,supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': none}",False,False,closed,black,0.0
akg,k619blk,circumaural,"{'min': 16.0, 'max': 24000.0, 'default': none}",True,False,closed,black,0.0
akg,k619blu,circumaural,"{'min': 16.0, 'max': 24000.0, 'default': none}",True,False,closed,black / blue,0.0
akg,k619red,circumaural,"{'min': 16.0, 'max': 24000.0, 'default': none}",True,False,closed,black / red,0.0
akg,k701,circumaural,"{'min': 10.0, 'max': 39800.0, 'default': none}",False,False,open,white,0.0
akg,k702,circumaural,"{'min': 10.0, 'max': 39800.0, 'default': none}",False,False,open,black / silver,0.0
akg,k712 pro,circumaural,"{'min': 10.0, 'max': 39800.0, 'default': none}",False,False,open,black / orange,0.0
akg,k830bt,supra-aural,"{'min': 18.0, 'max': 20000.0, 'default': none}",False,False,closed,black,0.0
akg,k840 kl,supra-aural,"{'min': 10.0, 'max': 31000.0, 'default': none}",False,False,closed,black / silver,0.0
akg,q701b,circumaural,"{'min': 10.0, 'max': 39800.0, 'default': none}",False,False,open,black / green,0.0
akg,q701wht,circumaural,"{'min': 10.0, 'max': 39800.0, 'default': none}",False,False,open,black / white,0.0
arctic,p253 bt,supra-aural,"{'min': 18.0, 'max': 22000.0, 'default': none}",True,True,closed,black / silver,0.0
arctic,p301,circumaural,"{'min': 12.0, 'max': 24000.0, 'default': none}",True,False,closed,black / silver,0.0
arctic,p311,supra-aural,"{'min': 18.0, 'max': 22000.0, 'default': none}",False,True,closed,black,0.0
arctic,p402,supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black / silver,0.0
arctic,p402 bt,supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,True,closed,black / silver,0.0
arctic,p533 penta,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black / orange,0.0
azio,gh808,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black / red,0.0
acer,predator galea 300,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black,0.0
acer,predator galea 311,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black,0.0
acer,predator galea 350,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black,0.0
acer,predator galea 500,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black,0.0
acer,predator gaming,circumaural,"{'min': 10.0, 'max': 28000.0, 'default': none}",True,False,open,black,0.0
adesso,xtream g1,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black / blue,0.0
adesso,xtream g2,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black / silver,0.0
adesso,xtream g3,circumaural,"{'min': 15.0, 'max': 20000.0, 'default': none}",True,False,closed,black / blue,0.0
adesso,xtream g4,circumaural,"{'min': 20.0, 'max': 2000.0, 'default': none}",True,False,closed,black / silver,0.0
adesso,xtream h2b,supra-aural,"{'min': 140.0, 'max': 20000.0, 'default': none}",False,True,closed,black / red,0.0
adesso,xtream h2w,supra-aural,"{'min': 140.0, 'max': 20000.0, 'default': none}",False,True,closed,green / white,0.0
adesso,xtream h3b,circumaural,"{'min': 140.0, 'max': 20000.0, 'default': none}",False,False,closed,black / gray,0.0
adesso,xtream h3w,circumaural,"{'min': 100.0, 'max': 20000.0, 'default': none}",False,True,closed,black / white,0.0
adesso,xtream h4,supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black,0.0
adesso,xtream h5,circumaural,"{'min': 20.0, 'max': 20000.0, 'default': none}",True,False,closed,black,0.0
altec lansing,foldable oth,supra-aural,"{'min': 20.0, 'max': 20000.0, 'default': none}",False,True,closed,red / white,0.0
altec lansing,mzx106w,in ear,"{'min': 20.0, 'max': 20000.0, 'default': none}",False,False,closed,white / black,0.0
altec lansing,mzx2051s,in ear,"{'min': 100.0, 'max': 5000.0, 'default': none}",True,False,closed,black,0.0
altec lansing,mzx436p,in ear,"{'min': 100.0, 'max': 5000.0, 'default': none}",False,False,closed,pink,0.0
altec lansing,mzx436r,in ear,"{'min': 100.0, 'max': 5000.0, 'default': none}",False,False,closed,pink / black,0.0
