brand,model,capacity,price_per_gb,storage_type,platter_rpm,cache_amount,form_factor,interface,price
adata,falcon,{'total': 256000000000},"['usd', '0.00']",ssd,,,m.2-2280,m.2 (m),0.0
adata,premier,{'total': 960000000000},"['usd', '0.415']",ssd,,,"2.5""",sata 6 gb/s,0.0
adata,premier pro sp310,{'total': 128000000000},"['usd', '0.00']",ssd,,,msata,msata,0.0
adata,premier pro sp600,{'total': 256000000000},"['usd', '0.00']",ssd,,,"2.5""",sata 6 gb/s,0.0
adata,premier pro sp900,{'total': 256000000000},"['usd', '0.00']",ssd,,,"2.5""",sata 6 gb/s,0.0
adata,premier pro sp920,{'total': 512000000000},"['usd', '0.00']",ssd,,,"2.5""",sata 6 gb/s,0.0
adata,premier sp550,{'total': 240000000000},"['usd', '0.00']",ssd,,,"2.5""",sata 6 gb/s,0.0
adata,premier sp600ns34,{'total': 128000000000},"['usd', '0.00']",ssd,,,m.2-2242,m.2 (b+m),0.0
adata,premier sp610,{'total': 1000000000000},"['usd', '0.00']",ssd,,,"2.5""",sata 6 gb/s,0.0
adata,s501 v2,{'total': 128000000000},"['usd', '0.00']",ssd,,,"2.5""",sata 6 gb/s,0.0
adata,s510,{'total': 240000000000},"['usd', '0.00']",ssd,,,"2.5""",sata 6 gb/s,0.0
adata,s510 series,{'total': 120000000000},"['usd', '0.00']",ssd,,,"2.5""",sata 6 gb/s,0.0
adata,s511 series,{'total': 120000000000},"['usd', '0.00']",ssd,,,"2.5""",sata 6 gb/s,0.0
adata,s592,{'total': 64000000000},"['usd', '0.00']",ssd,,,"2.5""",sata 3 gb/s,0.0
adata,s599,{'total': 40000000000},"['usd', '0.00']",ssd,,,"2.5""",sata 3 gb/s,0.0
adata,sp900 m.2,{'total': 256000000000},"['usd', '0.00']",ssd,,,m.2-2242,m.2 (b+m),0.0
adata,su630,{'total': 960000000000},"['usd', '0.109']",ssd,,,"2.5""",sata 6 gb/s,0.0
adata,su635,{'total': 480000000000},"['usd', '0.098']",ssd,,,"2.5""",sata 6 gb/s,0.0
adata,su655,{'total': 240000000000},"['usd', '0.00']",ssd,,,"2.5""",sata 6 gb/s,0.0
adata,su760,{'total': 512000000000},"['usd', '0.103']",ssd,,,"2.5""",sata 6 gb/s,0.0
adata,su800,{'total': 1000000000000},"['usd', '0.103']",ssd,,,m.2-2280,m.2 (b+m),0.0
