brand,model,style,switches,backlight,tenkeyless,connection,color,price
1stplayer,fire rose mk3,gaming,outemu blue,rgb,False,wired,white,0.0
a4tech,3100n,standard,outemu blue,rgb,False,wireless,black,0.0
a4tech,7300n,ergonomic,outemu blue,rgb,True,wireless,gray / black,0.0
a4tech,7700n,mini,outemu blue,rgb,True,wireless,silver / black,0.0
a4tech,9300f,ergonomic,outemu blue,rgb,False,wireless,black,0.0
a4tech,9500h,standard,outemu blue,rgb,False,wireless,black,0.0
a4tech,a-shape natural keyboard,ergonomic,outemu blue,rgb,False,wired,black,0.0
a4tech,b120,gaming,outemu blue,red,False,wired,black,0.0
a4tech,bloody gaming b975,gaming,lk light strike libra,rgb,False,wired,black / red,0.0
a4tech,g800v,gaming,lk light strike libra,rgb,False,wired,black,0.0
a4tech,kbs-29,ergonomic,lk light strike libra,rgb,False,wired,black,0.0
a4tech,kd-126,standard,lk light strike libra,blue,False,wired,black,0.0
a4tech,kd-600l,standard,lk light strike libra,blue,False,wired,black,0.0
a4tech,kl-5,mini,lk light strike libra,blue,False,wired,gray / black,0.0
a4tech,kl-5bk,slim,lk light strike libra,blue,True,wired,black,0.0
a4tech,kl-8muu,slim,lk light strike libra,blue,False,wired,gray / black,0.0
a4tech,kls-5,slim,lk light strike libra,blue,True,wired,black,0.0
a4tech,krs-85,standard,lk light strike libra,blue,False,wired,black,0.0
a4tech,my kids,mini,lk light strike libra,blue,False,wired,pink,0.0
a4tech,natural_a,ergonomic,lk light strike libra,blue,False,wired,black,0.0
a4tech,natural_a x-slim,ergonomic,lk light strike libra,blue,False,wired,black,0.0
a4tech,xslim,slim,lk light strike libra,blue,False,wired,black / silver,0.0
adata,xpg infarex k10,gaming,lk light strike libra,rgb,False,wired,black,0.0
adata,xpg infarex k20,gaming,kailh blue,rgb,False,wired,red,0.0
arctic,k381,slim,kailh blue,rgb,False,wired,black,0.0
arctic,k481,mini,kailh blue,rgb,True,wireless,black,0.0
aukey,km-g12,gaming,outemu blue,rgb,False,wired,black,0.0
aukey,km-g3-us,gaming,outemu blue,rgb,False,wired,silver / black,0.0
aukey,km-g9,standard,outemu blue,rgb,True,wired,black,0.0
azio,armato,gaming,cherry mx brown,red,False,wired,black,0.0
azio,backlit bluetooth 3.0 keyboard for tablets,mini,cherry mx brown,blue,True,bluetooth wireless,black,0.0
azio,hue,slim,cherry mx brown,blue,False,wireless,blue / white,0.0
azio,kb333bm,mini,cherry mx brown,blue,True,bluetooth wireless,white,0.0
azio,kb334b,mini,cherry mx brown,blue,True,bluetooth wireless,black,0.0
azio,kb336rp,slim,cherry mx brown,blue,True,wireless,black,0.0
azio,kb338bp,mini,cherry mx brown,blue,True,bluetooth wireless,black,0.0
azio,kb351rt,slim,cherry mx brown,blue,False,wireless,black,0.0
azio,kb503u,slim,cherry mx brown,blue,False,wired,black,0.0
azio,kb506,standard,cherry mx brown,multicolor,False,wired,black,0.0
azio,kb506w,gaming,cherry mx brown,blue,False,wireless,black,0.0
azio,l70,gaming,cherry mx brown,blue,False,wired,black,0.0
azio,large print tri-color illuminated keyboard,ergonomic,cherry mx brown,multicolor,False,wired,black,0.0
azio,levetron,gaming,cherry mx brown,blue,False,wired,black,0.0
azio,levetron clicker,standard,alps white,blue,False,wired,black,0.0
azio,levetron mech4,gaming,cherry mx black,blue,False,wired,black,0.0
azio,levetron mech5,gaming,cherry mx black,blue,False,wired,black / red,0.0
azio,mgk l80,gaming,kailh blue,blue,False,wired,black,0.0
azio,mgk1,gaming,kailh blue,white,False,wired,gunmetal,0.0
azio,mgk1 rgb,standard,kailh blue,rgb,False,wired,black,0.0
azio,mgk1-k,gaming,kailh brown,white,False,wired,black,0.0
azio,mk mac usb,standard,kailh brown,white,False,wired,white,0.0
azio,mk retro,standard,kailh blue,white,False,wired,black / silver,0.0
azio,mini thumb keyboard w/ trackball,mini,kailh blue,white,True,wireless,black,0.0
azio,prism,slim,kailh blue,multicolor,False,wired,black,0.0
azio,wireless htpc keyboard,slim,kailh blue,multicolor,True,wireless,black,0.0
acco,kensington 64406,standard,kailh blue,multicolor,False,wired,white,0.0
acco,kensington k72357usa,slim,kailh blue,multicolor,False,wired,black,0.0
acer,iconia tab,mini,kailh blue,multicolor,True,bluetooth wireless,black,0.0
adesso,ack-5010pb,mini,kailh blue,multicolor,True,wired,black,0.0
adesso,ack-5010pw,mini,kailh blue,multicolor,True,wired,white,0.0
adesso,ack-5010ub,mini,kailh blue,multicolor,True,wired,black,0.0
adesso,ack-5010uw,mini,kailh blue,multicolor,False,wired,white,0.0
adesso,ack-540pb,mini,kailh blue,multicolor,True,wired,black,0.0
adesso,ack-540pw,mini,kailh blue,multicolor,True,wired,beige,0.0
adesso,ack-540ub,mini,kailh blue,multicolor,True,wired,black,0.0
adesso,ack-540uw,mini,kailh blue,multicolor,True,wired,white,0.0
adesso,ack-573ub,mini,kailh blue,multicolor,True,wireless,black,0.0
adesso,ack-595,mini,kailh blue,multicolor,True,wired,white,0.0
adesso,ack-595pb,mini,kailh blue,multicolor,True,wired,black,0.0
adesso,ack-595pw,mini,kailh blue,multicolor,True,wired,white,0.0
adesso,ack-595ub,mini,kailh blue,multicolor,True,wired,black,0.0
adesso,ack-595uw,mini,kailh blue,multicolor,True,wired,white,0.0
adesso,ack-730b,standard,kailh blue,multicolor,False,wired,black,0.0
adesso,ack-730uw,mini,kailh blue,multicolor,False,wired,white,0.0
adesso,ack-730w,mini,kailh blue,multicolor,False,wired,white,0.0
adesso,akb-110b,mini,kailh blue,multicolor,True,wired,black,0.0
adesso,akb-110w,mini,kailh blue,multicolor,True,wired,white,0.0
adesso,akb-111ub,mini,kailh blue,multicolor,True,wired,black,0.0
adesso,akb-131hb,standard,kailh blue,multicolor,False,wired,black,0.0
adesso,akb-131pb,standard,kailh blue,multicolor,False,wired,black,0.0
adesso,akb-131ub,standard,kailh blue,multicolor,False,wired,black,0.0
adesso,akb-132hb,standard,kailh blue,multicolor,False,wired,black,0.0
adesso,akb-132pb,standard,kailh blue,multicolor,False,wired,black,0.0
adesso,akb-133cb,standard,kailh blue,multicolor,False,wired,black,0.0
adesso,akb-136cb,gaming,kailh blue,rgb,False,wired,black,0.0
adesso,akb-138eb,gaming,kailh blue,rgb,False,wired,black,0.0
adesso,akb-150cb,ergonomic,kailh blue,rgb,False,wired,black,0.0
adesso,akb-150sb,ergonomic,kailh blue,rgb,False,wired,black,0.0
adesso,akb-160ub,ergonomic,kailh blue,rgb,False,wired,black,0.0
adesso,akb-210,mini,kailh blue,rgb,False,wired,black,0.0
adesso,akb-220,mini,kailh blue,rgb,False,wired,black,0.0
adesso,akb-230,standard,kailh blue,rgb,True,wired,black,0.0
adesso,akb-230w,slim,kailh blue,rgb,False,wired,white,0.0
adesso,akb-310ub,mini,kailh blue,rgb,True,wired,black,0.0
adesso,akb-410pb,mini,kailh blue,rgb,True,wired,black,0.0
adesso,akb-410ub,mini,kailh blue,rgb,True,wired,black,0.0
adesso,akb-410uw,mini,kailh blue,rgb,True,wired,white,0.0
adesso,akb-420ub,standard,kailh blue,rgb,False,wired,black,0.0
adesso,akb-425ub,standard,kailh blue,rgb,False,wired,black,0.0
adesso,akb-430ug,standard,kailh blue,rgb,False,wired,gray / black,0.0
adesso,akb-440ub,slim,kailh blue,rgb,False,wired,black,0.0
adesso,akb-450ubw,ergonomic,kailh blue,rgb,False,wired,black,0.0
adesso,akb-520ub,slim,kailh blue,rgb,False,wired,black,0.0
adesso,akb-530ub,standard,kailh blue,rgb,False,wired,black,0.0
adesso,akb-630b,standard,kailh blue,rgb,False,wired,black,0.0
adesso,akb-630cb,standard,kailh blue,rgb,False,wired,black,0.0
adesso,akb-630ub,standard,kailh blue,rgb,False,wired,black,0.0
adesso,akb-636ub,standard,kailh blue,rgb,False,wired,black,0.0
adesso,akb-901,mini,kailh blue,rgb,True,wired,black / silver,0.0
adesso,antimicrobial waterproof flex keyboard,mini,kailh blue,rgb,False,wired,black,0.0
