brand,model,module_type,speed,number_of_modules,module_size,price_per_gb,color,first_word_latency,cas_timing,error_correction,price
adata,ad2s800b2g5-r 2 gb,ddr2,{'cycles': 800000000},0.0,{'total': 2000000000},"['usd', '10.720']",green,0.5547486484305655,0.1052631578947368,non-ecc / unbuffered,0.0
adata,ad2u800b1g5-rhs 1 gb,ddr2,{'cycles': 800000000},0.0,{'total': 1000000000},"['usd', '0.00']",blue / silver,0.5547486484305655,0.1052631578947368,non-ecc / unbuffered,0.0
adata,ad3s1066b2g7-r 2 gb,ddr3,{'cycles': 1066000000},0.0,{'total': 2000000000},"['usd', '0.00']",green,0.605825869442427,0.2105263157894736,non-ecc / unbuffered,0.0
adata,ad3s1333b2g9-r 2 gb,ddr3,{'cycles': 1333000000},0.0,{'total': 2000000000},"['usd', '0.00']",green,0.6356814330670539,0.3157894736842105,non-ecc / unbuffered,0.0
adata,ad3u1333b2g9-drh 4 gb,ddr3,{'cycles': 1333000000},0.1428571428571428,{'total': 2000000000},"['usd', '0.00']",blue / silver,0.6356814330670539,0.3157894736842105,non-ecc / unbuffered,0.0
adata,ad3u1333c4g9-2 8 gb,ddr3,{'cycles': 1333000000},0.1428571428571428,{'total': 4000000000},"['usd', '0.00']",green,0.6356814330670539,0.3157894736842105,non-ecc / unbuffered,0.0
adata,ad3u1600w8g11-r 8 gb,ddr3,{'cycles': 1600000000},0.0,{'total': 8000000000},"['usd', '0.00']",black / green,0.6556120390543048,0.4210526315789474,non-ecc / unbuffered,0.0
adata,ad4s213338g15-2 16 gb,ddr4,{'cycles': 2133000000},0.1428571428571428,{'total': 8000000000},"['usd', '0.00']",green / black,0.681029613491487,0.631578947368421,non-ecc / unbuffered,0.0
adata,ad4s2400316g17-2 32 gb,ddr4,{'cycles': 2400000000},0.1428571428571428,{'total': 16000000000},"['usd', '0.00']",green / black,0.6892600661663841,0.7368421052631577,non-ecc / unbuffered,0.0
adata,ad4s2400316g17-r 16 gb,ddr4,{'cycles': 2400000000},0.0,{'total': 16000000000},"['usd', '0.00']",green,0.6892600661663841,0.7368421052631577,non-ecc / unbuffered,0.0
adata,ad4s240038g17-2 16 gb,ddr4,{'cycles': 2400000000},0.1428571428571428,{'total': 8000000000},"['usd', '0.00']",green,0.6892600661663841,0.7368421052631577,non-ecc / unbuffered,0.0
adata,ad4s240038g17-r 8 gb,ddr4,{'cycles': 2400000000},0.0,{'total': 8000000000},"['usd', '0.00']",green,0.6892600661663841,0.7368421052631577,non-ecc / unbuffered,0.0
adata,ad4s2666316g19-d 32 gb,ddr4,{'cycles': 2666000000},0.1428571428571428,{'total': 16000000000},"['usd', '0.00']",green / black,0.6962801581537963,0.8421052631578947,non-ecc / unbuffered,0.0
adata,ad4s266638g19-r 8 gb,ddr4,{'cycles': 2666000000},0.0,{'total': 8000000000},"['usd', '5.999']",green,0.6962801581537963,0.8421052631578947,non-ecc / unbuffered,0.0
adata,ad4u2400w4g17-s 4 gb,ddr4,{'cycles': 2400000000},0.0,{'total': 4000000000},"['usd', '0.00']",green / black,0.6892600661663841,0.7368421052631577,non-ecc / unbuffered,0.0
adata,ad4u266638g19-s 8 gb,ddr4,{'cycles': 2666000000},0.0,{'total': 8000000000},"['usd', '5.511']",green / black,0.6962801581537963,0.8421052631578947,non-ecc / unbuffered,0.0
adata,adds1600w4g11-s 4 gb,ddr3,{'cycles': 1600000000},0.0,{'total': 4000000000},"['usd', '17.890']",black / green,0.6556120390543048,0.4210526315789474,non-ecc / unbuffered,0.0
adata,ax4u2400316g16-drg 32 gb,ddr4,{'cycles': 2400000000},0.1428571428571428,{'total': 16000000000},"['usd', '0.00']",red / white,0.6219640119422254,0.6842105263157894,non-ecc / unbuffered,0.0
adata,ax4u2400w4g16-drg 8 gb,ddr4,{'cycles': 2400000000},0.1428571428571428,{'total': 4000000000},"['usd', '17.672']",red / white,0.6219640119422254,0.6842105263157894,non-ecc / unbuffered,0.0
adata,ax4u2666w4g16-drg 8 gb,ddr4,{'cycles': 2666000000},0.1428571428571428,{'total': 4000000000},"['usd', '0.00']",red / white,0.5146453643185669,0.6842105263157894,non-ecc / unbuffered,0.0
adata,ax4u3000316g16-drg 32 gb,ddr4,{'cycles': 3000000000},0.1428571428571428,{'total': 16000000000},"['usd', '0.00']",red / white,0.4068425724199144,0.6842105263157894,non-ecc / unbuffered,0.0
adata,ax4u3000w4g16-dgz 8 gb,ddr4,{'cycles': 3000000000},0.1428571428571428,{'total': 4000000000},"['usd', '0.00']",gold,0.4068425724199144,0.6842105263157894,non-ecc / unbuffered,0.0
adata,ax4u3000w4g16-qgz 16 gb,ddr4,{'cycles': 3000000000},0.4285714285714285,{'total': 4000000000},"['usd', '0.00']",black / gold,0.4068425724199144,0.6842105263157894,non-ecc / unbuffered,0.0
adata,ax4u3000w8g16-dgz 16 gb,ddr4,{'cycles': 3000000000},0.1428571428571428,{'total': 8000000000},"['usd', '0.00']",gold,0.4068425724199144,0.6842105263157894,non-ecc / unbuffered,0.0
adata,ax4u3000w8g16-qgz 32 gb,ddr4,{'cycles': 3000000000},0.4285714285714285,{'total': 8000000000},"['usd', '0.00']",gold,0.4068425724199144,0.6842105263157894,non-ecc / unbuffered,0.0
adata,ax4u3200w4g16-dgz 8 gb,ddr4,{'cycles': 3200000000},0.1428571428571428,{'total': 4000000000},"['usd', '0.00']",gold,0.3530218671830871,0.6842105263157894,non-ecc / unbuffered,0.0
