brand,model,socket,form_factor,ram_slots,max_ram,color,price
asrock,760gm-gs3,am3,micro atx,0.0666666666666666,{'total': 8000000000},black / blue,0.0
asrock,760gm-hdv,am3+/am3,micro atx,0.0666666666666666,{'total': 32000000000},black / blue,0.0
asrock,770 extreme3,am3,atx,0.2,{'total': 16000000000},black / white,0.0
asrock,770icafe,am3+/am3,atx,0.2,{'total': 16000000000},black / blue,0.0
asrock,870 extreme3,am3,atx,0.2,{'total': 16000000000},black / blue,0.0
asrock,870 extreme3 r2.0,am3+,atx,0.2,{'total': 32000000000},black / blue,0.0
asrock,870icafe r2.0,am3+,atx,0.2,{'total': 32000000000},black / blue,0.0
asrock,880g extreme3,am3,atx,0.2,{'total': 16000000000},black / blue,0.0
asrock,880g pro3,am3,atx,0.2,{'total': 32000000000},black / blue,0.0
asrock,880gm-le,am3,micro atx,0.0666666666666666,{'total': 8000000000},black / blue,0.0
asrock,880gm-le fx,am3+,micro atx,0.0666666666666666,{'total': 8000000000},black / blue,0.0
asrock,880gmh/u3s3,am3+,micro atx,0.2,{'total': 32000000000},black / blue,0.0
asrock,880gmh/usb3,am3,micro atx,0.2,{'total': 16000000000},black / blue,0.0
asrock,880gmh/usb3 r2.0,am3,micro atx,0.2,{'total': 16000000000},black / blue,0.0
asrock,880gxh/usb3,am3,atx,0.2,{'total': 16000000000},black / blue,0.0
asrock,890fx deluxe3,am3,atx,0.2,{'total': 16000000000},black / blue,0.0
asrock,890fx deluxe4,am3,atx,0.2,{'total': 16000000000},black / blue,0.0
asrock,890fx deluxe5,am3+,atx,0.2,{'total': 32000000000},black / blue,0.0
asrock,890gm pro3,am3,micro atx,0.2,{'total': 16000000000},black / blue,0.0
asrock,890gx extreme3,am3,atx,0.2,{'total': 16000000000},black / blue,0.0
asrock,890gx extreme4,am3,atx,0.2,{'total': 16000000000},black / blue,0.0
asrock,890gx pro3,am3,atx,0.2,{'total': 32000000000},black / blue,0.0
asrock,960gm/u3s3 fx,am3+,micro atx,0.0666666666666666,{'total': 16000000000},black / blue,0.0
asrock,970 extreme4,am3+,atx,0.2,{'total': 32000000000},black / blue,0.0
asrock,970 extreme3,am3+,atx,0.2,{'total': 32000000000},black,0.0
asrock,970 extreme3 r2.0,am3+,atx,0.2,{'total': 64000000000},brown / black,0.0
asrock,970 performance,am3+,atx,0.2,{'total': 64000000000},black / red,0.0
asrock,970 pro3,am3+,atx,0.2,{'total': 32000000000},brown / black,0.0
asrock,970 pro3 r2.0,am3+,atx,0.2,{'total': 64000000000},brown / black,0.0
asrock,970a-g/3.1,am3+/am3,atx,0.2,{'total': 64000000000},black / red,0.0
asrock,970de3/u3s3,am3+,atx,0.2,{'total': 32000000000},black / silver,0.0
asrock,970m pro3,am3+/am3,micro atx,0.2,{'total': 64000000000},black,0.0
asrock,980de3/u3s3,am3+,atx,0.2,{'total': 32000000000},black,0.0
asrock,990fx extreme3,am3+/am3,atx,0.2,{'total': 32000000000},black / silver,0.0
asrock,990fx extreme4,am3+,atx,0.2,{'total': 32000000000},black / blue,0.0
asrock,990fx extreme9,am3+,atx,0.2,{'total': 64000000000},black / gold,0.0
asrock,990fx killer,am3+,atx,0.2,{'total': 64000000000},black / red,0.0
asrock,990fx killer/3.1,am3+/am3,atx,0.2,{'total': 64000000000},black / red,0.0
asrock,a320m,am4,micro atx,0.0666666666666666,{'total': 32000000000},black / silver,0.0
asrock,a320m pro4,am4,micro atx,0.2,{'total': 64000000000},black / white,0.0
asrock,a320m-dgs,am4,micro atx,0.0666666666666666,{'total': 32000000000},black / silver,0.0
asrock,a320m-dvs r4.0,am4,micro atx,0.0666666666666666,{'total': 32000000000},black / silver,0.0
asrock,a320m-hdv,am4,micro atx,0.0666666666666666,{'total': 32000000000},black / silver,0.0
asrock,a320m-hdv r3.0,am4,micro atx,0.0666666666666666,{'total': 32000000000},black,0.0
asrock,a320m-hdv r4.0,am4,micro atx,0.0666666666666666,{'total': 32000000000},black / white,0.0
asrock,a320m-itx,am4,mini itx,0.0666666666666666,{'total': 32000000000},black / silver,0.0
asrock,a520m pro4,am4,micro atx,0.2,{'total': 128000000000},black / silver,0.0
asrock,a520m-hdv,am4,micro atx,0.0666666666666666,{'total': 64000000000},black / silver,0.0
asrock,a520m-hdvp,am4,micro atx,0.0666666666666666,{'total': 64000000000},black / silver,0.0
asrock,a520m-hdvp/dash,am4,micro atx,0.0666666666666666,{'total': 64000000000},black / silver,0.0
asrock,a520m-hvs,am4,micro atx,0.0666666666666666,{'total': 64000000000},black / silver,0.0
asrock,a520m-itx/ac,am4,mini itx,0.0666666666666666,{'total': 64000000000},black / silver,0.0
asrock,a520m/ac,am4,micro atx,0.0666666666666666,{'total': 64000000000},black / silver,0.0
asrock,a55 pro3,fm1,atx,0.2,{'total': 32000000000},black / blue,0.0
asrock,a55m-hvs,fm1,micro atx,0.0666666666666666,{'total': 16000000000},black / blue,0.0
asrock,a55m-vs,fm1,micro atx,0.0666666666666666,{'total': 16000000000},brown / black,0.0
asrock,a68m-itx,fm2+,mini itx,0.0666666666666666,{'total': 32000000000},black / orange,0.0
asrock,a75 extreme6,fm1,atx,0.2,{'total': 32000000000},black / blue,0.0
asrock,a75 pro4,fm1,atx,0.2,{'total': 32000000000},black / blue,0.0
asrock,a75 pro4-m,fm1,micro atx,0.2,{'total': 32000000000},black / blue,0.0
asrock,a75 pro4/mvp,fm1,atx,0.2,{'total': 32000000000},brown / black,0.0
asrock,a75m-hvs,fm1,micro atx,0.0666666666666666,{'total': 16000000000},black / blue,0.0
asrock,a75m-itx,fm1,mini itx,0.0666666666666666,{'total': 16000000000},black / blue,0.0
asrock,a770de+,am3/am2+/am2,atx,0.2,{'total': 16000000000},black / blue,0.0
asrock,a780lm-s,am3/am2+/am2,micro atx,0.0666666666666666,{'total': 8000000000},multicolor,0.0
asrock,a785gm-le,am3/am2+/am2,micro atx,0.0666666666666666,{'total': 8000000000},multicolor,0.0
asrock,a785gm-le/128m,am3/am2+/am2,micro atx,0.0666666666666666,{'total': 8000000000},multicolor,0.0
asrock,a785gmh/128m,am3/am2+/am2,micro atx,0.2,{'total': 16000000000},multicolor,0.0
asrock,a785gxh/128m,am3/am2+/am2,atx,0.2,{'total': 16000000000},multicolor,0.0
asrock,a790gmh/128m,am3/am2+/am2,micro atx,0.2,{'total': 16000000000},multicolor,0.0
asrock,a88m-g/3.1,fm2+,micro atx,0.2,{'total': 64000000000},black / red,0.0
asrock,ab350 gaming-itx/ac,am4,mini itx,0.0666666666666666,{'total': 32000000000},black / red,0.0
asrock,ab350 pro4,am4,atx,0.2,{'total': 64000000000},black / white,0.0
asrock,ab350m,am4,micro atx,0.0666666666666666,{'total': 32000000000},black / white,0.0
asrock,ab350m pro4,am4,micro atx,0.2,{'total': 64000000000},black / white,0.0
asrock,ab350m-hdv,am4,micro atx,0.0666666666666666,{'total': 32000000000},black / white,0.0
asrock,ad2500b-itx,integrated atom d2500,mini itx,0.0666666666666666,{'total': 4000000000},black / silver,0.0
asrock,ad2550r/u3s3,integrated atom d2550,mini itx,0.0666666666666666,{'total': 4000000000},black / green,0.0
asrock,ad2700-itx,integrated atom d2700,mini itx,0.0666666666666666,{'total': 4000000000},black / blue,0.0
asrock,ad2700b-itx,integrated atom d2700,mini itx,0.0666666666666666,{'total': 4000000000},black / blue,0.0
asrock,ad525pv3,integrated atom d525,mini itx,0.0666666666666666,{'total': 8000000000},black / blue,0.0
asrock,am1b-m,am1,micro atx,0.0666666666666666,{'total': 32000000000},black / silver,0.0
asrock,am1b-mdh,am1,micro atx,0.0666666666666666,{'total': 16000000000},black / silver,0.0
asrock,b150 gaming k4/hyper,lga1151,atx,0.2,{'total': 64000000000},black / red,0.0
asrock,b150 gaming k4,lga1151,atx,0.2,{'total': 64000000000},black / red,0.0
asrock,b150 pro4/d3,lga1151,atx,0.2,{'total': 64000000000},black / orange,0.0
asrock,b150m pro4,lga1151,micro atx,0.2,{'total': 64000000000},black / orange,0.0
asrock,b150m pro4/d3,lga1151,micro atx,0.2,{'total': 64000000000},black / orange,0.0
asrock,b150m pro4/hyper,lga1151,micro atx,0.2,{'total': 64000000000},black / white,0.0
asrock,b150m pro4s,lga1151,micro atx,0.2,{'total': 64000000000},black / orange,0.0
asrock,b150m pro4s/d3,lga1151,micro atx,0.2,{'total': 64000000000},black / orange,0.0
asrock,b150m pro4v,lga1151,micro atx,0.2,{'total': 64000000000},black / orange,0.0
asrock,b150m-dvs r2.0,lga1151,micro atx,0.0666666666666666,{'total': 32000000000},black / orange,0.0
asrock,b150m-hds,lga1151,micro atx,0.0666666666666666,{'total': 32000000000},black / orange,0.0
asrock,b150m-hdv,lga1151,micro atx,0.0666666666666666,{'total': 32000000000},black / orange,0.0
asrock,b150m-hdv/d3,lga1151,atx,0.0666666666666666,{'total': 16000000000},black / orange,0.0
asrock,b150m-itx,lga1151,mini itx,0.0666666666666666,{'total': 32000000000},black / orange,0.0
asrock,b250 pro4,lga1151,atx,0.2,{'total': 64000000000},black / white,0.0
asrock,b250m pro4,lga1151,micro atx,0.2,{'total': 64000000000},black / white,0.0
asrock,b250m-hdv,lga1151,micro atx,0.0666666666666666,{'total': 32000000000},black / white,0.0
asrock,b360 pro4,lga1151,atx,0.2,{'total': 64000000000},black / silver,0.0
asrock,b360m performance,lga1151,micro atx,0.2,{'total': 64000000000},black / silver,0.0
asrock,b360m pro4,lga1151,micro atx,0.2,{'total': 64000000000},black / silver,0.0
asrock,b360m-hdv,lga1151,micro atx,0.0666666666666666,{'total': 32000000000},black / silver,0.0
asrock,b360m-itx/ac,lga1151,mini itx,0.0666666666666666,{'total': 32000000000},black / silver,0.0
asrock,b365 phantom gaming 4,lga1151,atx,0.2,{'total': 128000000000},black / red,0.0
asrock,b365 pro4,lga1151,atx,0.2,{'total': 64000000000},black / silver,0.0
asrock,b365m phantom gaming 4,lga1151,micro atx,0.2,{'total': 128000000000},black / red,0.0
asrock,b365m pro4,lga1151,micro atx,0.2,{'total': 64000000000},black / silver,0.0
asrock,b365m-hdv,lga1151,micro atx,0.0666666666666666,{'total': 32000000000},black / silver,0.0
asrock,b365m-itx/ac,lga1151,mini itx,0.0666666666666666,{'total': 32000000000},black / silver,0.0
