brand,model,tracking,connection,max_dpi,hand_orientation,color,price
3m,em500gpl,optical,wired,,right,black / silver,0.0
3m,em500gps,optical,wired,,right,black,0.0
3m,em550gpl,optical,wireless,,right,black,0.0
3m,em550gps,optical,wireless,,right,black,0.0
a4tech,al90,laser,wired,,right,black,0.0
a4tech,bloody tl8 terminator,laser,wired,0.2468354430379746,right,black / silver,0.0
a4tech,bloody v7,optical,wired,0.0886075949367088,both,black / red,0.0
a4tech,d-110-1,laser,wired,0.0189873417721519,both,black,0.0
a4tech,d-120,optical,wired,0.0189873417721519,both,black / silver,0.0
a4tech,d-312,optical,wired,0.0189873417721519,both,black,0.0
a4tech,d-500f,optical,wired,0.0189873417721519,both,black,0.0
a4tech,d-530-fx1,optical,wired,0.0379746835443038,both,gray / black,0.0
a4tech,d-530-fx2,optical,wired,0.0379746835443038,both,black / gray,0.0
a4tech,d-600x,optical,wired,0.0379746835443038,both,black,0.0
a4tech,d-70fx,optical,wired,0.0379746835443038,right,black,0.0
a4tech,d-730fx,optical,wired,0.0379746835443038,right,black,0.0
a4tech,d-770fx,optical,wired,0.0379746835443038,right,black,0.0
a4tech,d-810fx,optical,wired,0.0379746835443038,right,black,0.0
a4tech,f3,laser,wired,0.0886075949367088,both,black,0.0
a4tech,f5,laser,wired,0.0822784810126582,both,black,0.0
a4tech,g10-730h,optical,wireless,0.050632911392405,right,black,0.0
a4tech,g10-770h,optical,wireless,0.050632911392405,right,black,0.0
a4tech,g10-810h,optical,wireless,0.050632911392405,right,black,0.0
a4tech,g11-570hx-1,optical,wireless,0.050632911392405,right,black / silver,0.0
a4tech,g11-570hx-4,optical,wireless,0.050632911392405,right,black / red,0.0
a4tech,g7-100-d,optical,wireless,0.0189873417721519,both,gray / black,0.0
a4tech,g7-310d-2,optical,wireless,0.050632911392405,both,black / silver,0.0
a4tech,g7-750d,optical,wireless,0.050632911392405,right,gray / black,0.0
a4tech,g7-750n-1,optical,wireless,0.050632911392405,right,black / gray,0.0
a4tech,g7cr-60b,optical,wireless,0.050632911392405,right,black,0.0
a4tech,g9-110h-1,optical,wireless,0.050632911392405,both,black,0.0
a4tech,g9-110h-2,optical,wireless,0.050632911392405,both,white / silver,0.0
a4tech,g9-330h-2,optical,wireless,0.050632911392405,both,black / silver,0.0
a4tech,g9-370hx-1,optical,wireless,0.050632911392405,both,black,0.0
a4tech,g9-530hx,laser,wireless,0.050632911392405,both,gray / black,0.0
a4tech,g9-530hx-2,optical,wireless,0.050632911392405,both,black / gray,0.0
a4tech,g9-600hx,optical,wireless,0.050632911392405,both,black,0.0
a4tech,ml160,laser,wired,0.2468354430379746,right,black,0.0
a4tech,op-620,laser,wired,0.2468354430379746,both,black,0.0
a4tech,tl80,laser,wired,0.2468354430379746,both,black / red,0.0
a4tech,xl-747h,laser,wired,0.1012658227848101,both,black,0.0
a4tech,zl50,laser,wired,0.1012658227848101,right,black / red,0.0
abkoncore,a900,optical,wired,0.4936708860759494,right,black / silver,0.0
adata,xpg infarex m10,optical,wired,0.0886075949367088,right,black,0.0
adata,xpg infarex m20,optical,wired,0.1455696202531645,right,black,0.0
azio,exo1,optical,wired,0.0981012658227848,right,black / red,0.0
azio,exo1-k,optical,wired,0.0981012658227848,right,black,0.0
azio,g8 gm8200,laser,wired,0.2468354430379746,right,black / purple,0.0
azio,levetron,laser,wired,0.1455696202531645,right,black / red,0.0
acco,kensington k64327f,optical,wired,0.1455696202531645,both,silver / black,0.0
acco,kensington k72337us,optical,wired,0.1455696202531645,both,black / blue,0.0
acco,kensington k72392us,optical,wireless,0.0189873417721519,both,black,0.0
acco,kensington k72422ww,optical,wireless,0.0379746835443038,right,red / black,0.0
acer,amr513,optical,wireless,0.0189873417721519,both,red / black,0.0
acer,urban factory anti-stress mouse,optical,wired,0.0126582278481012,both,black / silver,0.0
acer,urban factory crazy mouse,optical,wired,0.0126582278481012,both,blue / white,0.0
adesso,atp-400ub,optical,wired,0.0126582278481012,both,black,0.0
adesso,gp-160pb,touchpad,wired,0.0126582278481012,both,black,0.0
adesso,gp-160ub,touchpad,wired,0.0126582278481012,both,black,0.0
adesso,gp-410ub,touchpad,wired,0.0126582278481012,both,black,0.0
adesso,hc-3003ps,optical,wired,0.0189873417721519,both,black,0.0
adesso,hc-3003us,optical,wired,0.0189873417721519,both,black,0.0
adesso,hf-4003ub,laser,wired,0.0379746835443038,both,black,0.0
adesso,imouse g25,laser,wireless,0.0379746835443038,right,black,0.0
adesso,imouse m10,optical,wireless,0.0189873417721519,both,black,0.0
adesso,imouse m30,optical,wireless,0.0189873417721519,both,black,0.0
adesso,imouse m300w,optical,wired,0.0189873417721519,both,white,0.0
adesso,imouse s1,optical,wired,0.0189873417721519,both,black,0.0
adesso,imouse s10,optical,wireless,0.0031645569620253,both,black / gray,0.0
adesso,imouse s100,optical,bluetooth wireless,0.0189873417721519,both,black,0.0
adesso,imouse s20,optical,wireless,0.0348101265822784,right,black,0.0
adesso,imouse s30,optical,wireless,0.0189873417721519,both,black,0.0
adesso,imouse w4,optical,wired,0.0189873417721519,both,black,0.0
adesso,imouse x1,optical,wired,0.0886075949367088,right,silver / black,0.0
adesso,imouse x3,optical,wired,0.189873417721519,right,black / gold,0.0
adesso,imouseg1,optical,wired,0.0632911392405063,both,black / blue,0.0
adesso,imouses4,optical,wired,0.0379746835443038,both,black,0.0
