brand,model,supported_protocols,interface,color,price
aukey,wf-r12,wi-fi 5,usb 3.0,,0.0
avm,fritz! wlan stick ac 430 mu-mimo,wi-fi 5,usb 2.0,white / red,0.0
asus,pce-ac51,wi-fi 5,pcie x1,white / red,0.0
asus,pce-ac55bt,wi-fi 5,pcie x1,white / red,0.0
asus,pce-ac55bt b1,wi-fi 5,pcie x1,white / red,0.0
asus,pce-ac56,wi-fi 5,pcie x1,white / red,0.0
asus,pce-ac58bt,wi-fi 5,pcie x1,blue,0.0
asus,pce-ac66,wi-fi 5,pcie x1,blue,0.0
asus,pce-ac68,wi-fi 5,pcie x1,blue,0.0
asus,pce-ac88,wi-fi 5,pcie x1,blue,0.0
asus,pce-ax58bt,wi-fi 6,pcie x1,black,0.0
asus,pce-n10,wi-fi 4,pcie x1,black,0.0
asus,pce-n15,wi-fi 4,pcie x1,black,0.0
asus,pce-n53,wi-fi 4,pcie x1,black,0.0
asus,usb-ac51,wi-fi 5,usb 2.0,black,0.0
asus,usb-ac53,wi-fi 5,usb 2.0,black,0.0
asus,usb-ac53 nano,wi-fi 5,usb 2.0,black,0.0
asus,usb-ac55,wi-fi 5,usb 3.0,black,0.0
asus,usb-ac55 b1,wi-fi 5,usb 3.0,black,0.0
asus,usb-ac56,wi-fi 5,usb 3.0,black,0.0
asus,usb-ac68,wi-fi 5,usb 3.0,black,0.0
asus,usb-n10,wi-fi 4,usb 2.0,black,0.0
asus,usb-n13,wi-fi 4,usb 2.0,black,0.0
asus,usb-n53,wi-fi 4,usb 2.0,black,0.0
asus,usb-n66,wi-fi 4,usb 2.0,black,0.0
athenatech,ne-wn3201d,wi-fi 4,usb 2.0,black,0.0
belkin,b2n002,wi-fi 4,usb 2.0,black,0.0
belkin,e9l1500,wi-fi 4,usb 2.0,black,0.0
belkin,e9l3000,wi-fi 4,usb 2.0,black,0.0
belkin,e9l6000,wi-fi 4,usb 2.0,black,0.0
belkin,e9l7500,wi-fi 4,usb 2.0,black,0.0
belkin,f7d1102,wi-fi 4,usb 1.0,black,0.0
belkin,f7d2102,wi-fi 4,usb 2.0,black,0.0
belkin,f7d2102tt,wi-fi 4,usb 2.0,black,0.0
belkin,f9l1001,wi-fi 4,usb 2.0,black,0.0
belkin,f9l1002,wi-fi 4,usb 2.0,black,0.0
belkin,f9l1101,wi-fi 4,usb 2.0,black,0.0
belkin,f9l1103,wi-fi 4,usb 1.0,black,0.0
belkin,f9l1109-om,wi-fi 5,usb 3.0,black,0.0
belkin,linksys ae1200-np,wi-fi 4,usb 3.0,black,0.0
benq,wdrt8192,wi-fi 4,usb 1.0,black,0.0
brostrend,ac1,wi-fi 5,usb 3.0,black,0.0
brostrend,ac1l,wi-fi 5,usb 3.0,black,0.0
brostrend,ac3,wi-fi 5,usb 3.0,black,0.0
brostrend,ac3l linux wi-fi adapter,wi-fi 5,usb 3.0,black,0.0
brostrend,ac5,wi-fi 5,usb 2.0,black,0.0
brostrend,ac6,wi-fi 5,pcie x1,red / black,0.0
buffalo technology,wi-u2-300d,wi-fi 4,usb 2.0,red / black,0.0
buffalo technology,wi-u2-433dm,wi-fi 5,usb 2.0,red / black,0.0
cisco,air-pi21ag-a-k9,wi-fi 3,pci,red / black,0.0
cisco,am10,wi-fi 4,usb 2.0,red / black,0.0
d-link,dwa-121,wi-fi 4,usb 2.0,red / black,0.0
d-link,dwa-125,wi-fi 4,usb 2.0,red / black,0.0
d-link,dwa-130,wi-fi 4,usb 2.0,red / black,0.0
d-link,dwa-131,wi-fi 4,usb 2.0,red / black,0.0
d-link,dwa-140,wi-fi 4,usb 2.0,red / black,0.0
d-link,dwa-160,wi-fi 4,usb 2.0,red / black,0.0
d-link,dwa-162,wi-fi 4,usb 2.0,red / black,0.0
d-link,dwa-171,wi-fi 5,usb 2.0,red / black,0.0
d-link,dwa-180,wi-fi 5,usb 2.0,red / black,0.0
d-link,dwa-182,wi-fi 5,usb 2.0,red / black,0.0
d-link,dwa-192,wi-fi 5,usb 3.0,red / black,0.0
d-link,dwa-525,wi-fi 4,pci,red / black,0.0
d-link,dwa-548,wi-fi 4,pcie x1,red / black,0.0
d-link,dwa-552,wi-fi 4,pci,red / black,0.0
d-link,dwa-566,wi-fi 4,pcie x1,red / black,0.0
d-link,dwa-582,wi-fi 5,pcie x1,red / black,0.0
d-link,n69506,wi-fi 4,usb 2.0,red / black,0.0
diamond,wl700nxs,wi-fi 4,usb 2.0,red / black,0.0
edimax,ew-7128gn,wi-fi 4,pci,red / black,0.0
edimax,ew-7612pin v2,wi-fi 4,pcie x1,green,0.0
edimax,ew-7612pin,wi-fi 4,pcie x1,green,0.0
edimax,ew-7711mac,wi-fi 5,usb 2.0,green,0.0
edimax,ew-7711usn,wi-fi 4,usb 2.0,green,0.0
edimax,ew-7722in,wi-fi 4,pci,green,0.0
edimax,ew-7722pnd,wi-fi 4,pcie x1,green,0.0
edimax,ew-7722utn,wi-fi 4,usb 2.0,green,0.0
edimax,ew-7722und,wi-fi 4,usb 2.0,green,0.0
edimax,ew-7811dac,wi-fi 5,usb 2.0,green,0.0
edimax,ew-7811uac,wi-fi 5,usb 2.0,green,0.0
edimax,ew-7811utc,wi-fi 5,usb 2.0,green,0.0
edimax,ew-7811un,wi-fi 4,usb 2.0,green,0.0
edimax,ew-7822pic,wi-fi 5,pcie x1,green,0.0
edimax,ew-7822uac,wi-fi 5,usb 3.0,green,0.0
edimax,ew-7822utc,wi-fi 5,usb 3.0,black,0.0
encore,enewi-1xn42,wi-fi 4,pcie x1,black,0.0
encore,enewi-1xn45,wi-fi 4,pcie x1,black,0.0
encore,enewi-2xn42,wi-fi 4,pcie x1,black,0.0
encore,enewi-2xn45,wi-fi 4,pcie x1,black,0.0
encore,enlwi-n3,wi-fi 4,pci,black,0.0
encore,enuwi-1xn42,wi-fi 4,usb 2.0,black,0.0
encore,enuwi-1xn45,wi-fi 4,usb 2.0,black,0.0
encore,enuwi-1xn4m,wi-fi 4,usb 2.0,black,0.0
encore,enuwi-2xn42,wi-fi 4,usb 2.0,black,0.0
encore,enuwi-2xn45,wi-fi 4,usb 2.0,black,0.0
encore,enuwi-g2,wi-fi 3,usb 2.0,black,0.0
